order_number,created_at,payment_details,paymentId,order_id,txnid
3433,"09/02/2021, 05:22 PM","{""ORDERID"":""16068822892695-20210209123058"",""MID"":""WeWork88667919530823"",""TXNID"":""20210209111212800110168726581119501"",""TXNAMOUNT"":""472.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-09 18:00:59.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16068822892695"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70433861878"",""BANKNAME"":""Kotak Bank""}",,16068822892695-20210209123058,20210209111212800110168726581119501
3824,"09/02/2021, 05:28 PM","{""ORDERID"":""16112760848535-20210216060623"",""MID"":""WeWork88667919530823"",""TXNID"":""20210216111212800110168216382896507"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""UPI"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-16 11:36:24.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16112760848535"",""GATEWAYNAME"":""PPBL"",""BANKTXNID"":""104711304612""}",,16112760848535-20210216060623,20210216111212800110168216382896507
3465,"10/02/2021, 10:18 AM","{""ORDERID"":""16073714991255-20210210050609"",""MID"":""WeWork88667919530823"",""TXNID"":""20210210111212800110168916481493390"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-10 10:36:10.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16073714991255"",""GATEWAYNAME"":""AMEXADV"",""BANKTXNID"":""21021011279"",""BANKNAME"":""AMEX""}",,16073714991255-20210210050609,20210210111212800110168916481493390
3474,"10/02/2021, 11:12 AM","{""ORDERID"":""16073922543767-20210210055300"",""MID"":""WeWork88667919530823"",""TXNID"":""20210210111212800110168667581187239"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""UPI"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-10 11:23:00.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16073922543767"",""GATEWAYNAME"":""PPBLC"",""BANKTXNID"":""104118319979""}",,16073922543767-20210210055300,20210210111212800110168667581187239
3499,"10/02/2021, 11:43 AM","{""CURRENCY"":""INR"",""GATEWAYNAME"":""WALLET"",""RESPMSG"":""Txn Success"",""BANKNAME"":""WALLET"",""PAYMENTMODE"":""PPI"",""MID"":""WeWork88667919530823"",""MERC_UNQ_REF"":""16074540318871"",""RESPCODE"":""01"",""TXNID"":""20210210111212800110168944881814126"",""TXNAMOUNT"":""236.00"",""ORDERID"":""16074540318871-20210210075000"",""STATUS"":""TXN_SUCCESS"",""BANKTXNID"":""152614431167"",""TXNDATE"":""2021-02-10 13:20:05.0""}",,16074540318871-20210210075000,20210210111212800110168944881814126
3484,"10/02/2021, 12:03 PM","{""ORDERID"":""16074119348375-20210210063556"",""MID"":""WeWork88667919530823"",""TXNID"":""20210210111212800110168019281409820"",""TXNAMOUNT"":""472.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-10 12:05:57.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16074119348375"",""GATEWAYNAME"":""SBIFSS"",""BANKTXNID"":""202104119529984"",""BANKNAME"":""ICICI Bank""}",,16074119348375-20210210063556,20210210111212800110168019281409820
3497,"10/02/2021, 12:23 PM","{""ORDERID"":""16074258251927-20210210072954"",""MID"":""WeWork88667919530823"",""TXNID"":""20210210111212800110168674581246826"",""TXNAMOUNT"":""1770.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-10 12:59:54.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16074258251927"",""GATEWAYNAME"":""AMEX"",""BANKTXNID"":""720160155"",""BANKNAME"":""American Express""}",,16074258251927-20210210072954,20210210111212800110168674581246826
3504,"10/02/2021, 01:53 PM","{""ORDERID"":""16074852728983-20210210083921"",""MID"":""WeWork88667919530823"",""TXNID"":""20210210111212800110168865181247467"",""TXNAMOUNT"":""885.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-10 14:09:22.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16074852728983"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70440326593"",""BANKNAME"":""HDFC Bank""}",,16074852728983-20210210083921,20210210111212800110168865181247467
3507,"10/02/2021, 02:45 PM","{""ORDERID"":""16075079188631-20210210091837"",""MID"":""WeWork88667919530823"",""TXNID"":""20210210111212800110168299882205116"",""TXNAMOUNT"":""590.00"",""PAYMENTMODE"":""DC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-10 14:48:38.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16075079188631"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70440626191"",""BANKNAME"":""ICICI Bank""}",,16075079188631-20210210091837,20210210111212800110168299882205116
3994,"10/02/2021, 03:36 PM","{""ORDERID"":""16125704732823-20210218062652"",""MID"":""WeWork88667919530823"",""TXNID"":""20210218111212800110168133183676379"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""DC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-18 11:56:53.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16125704732823"",""GATEWAYNAME"":""SBIFSS"",""BANKTXNID"":""202104914841643"",""BANKNAME"":""Citibank""}",,16125704732823-20210218062652,20210218111212800110168133183676379
3512,"10/02/2021, 04:06 PM","{""ORDERID"":""16075515789463-20210210103928"",""MID"":""WeWork88667919530823"",""TXNID"":""20210210111212800110168336281671724"",""TXNAMOUNT"":""590.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-10 16:09:29.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16075515789463"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70441200715"",""BANKNAME"":""Kotak Bank""}",,16075515789463-20210210103928,20210210111212800110168336281671724
3513,"10/02/2021, 04:07 PM","{""ORDERID"":""16075518148759-20210210104407"",""MID"":""WeWork88667919530823"",""TXNID"":""20210210111212800110168142381429862"",""TXNAMOUNT"":""4425.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-10 16:14:08.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16075518148759"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70441241474"",""BANKNAME"":""Citibank""}",,16075518148759-20210210104407,20210210111212800110168142381429862
3518,"10/02/2021, 04:58 PM","{""ORDERID"":""16075878891671-20210210120204"",""MID"":""WeWork88667919530823"",""TXNID"":""20210210111212800110168889481702616"",""TXNAMOUNT"":""295.00"",""PAYMENTMODE"":""DC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-10 17:32:05.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16075878891671"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70441796390"",""BANKNAME"":""AXIS""}",,16075878891671-20210210120204,20210210111212800110168889481702616
3540,"11/02/2021, 09:21 AM","{""ORDERID"":""16080459366551-20210211040659"",""MID"":""WeWork88667919530823"",""TXNID"":""20210211111212800110168150881402622"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""DC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-11 09:37:01.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16080459366551"",""GATEWAYNAME"":""BOBFSS"",""BANKTXNID"":""202104292030958"",""BANKNAME"":""ICICI Bank""}",,16080459366551-20210211040659,20210211111212800110168150881402622
3548,"11/02/2021, 10:16 AM","{""ORDERID"":""16080615473303-20210211044738"",""MID"":""WeWork88667919530823"",""TXNID"":""20210211111212800110168592981885574"",""TXNAMOUNT"":""590.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-11 10:17:39.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16080615473303"",""GATEWAYNAME"":""AMEXADV"",""BANKTXNID"":""21021111407"",""BANKNAME"":""AMEX""}",,16080615473303-20210211044738,20210211111212800110168592981885574
